name,link
Near and Middle Eastern Civilizations Graduate Students’ Association,https://sop.utoronto.ca/group/near-and-middle-eastern-civilizations-graduate-students-association/
New College Students Against Sexual Assault and Harassment (NASAH),https://sop.utoronto.ca/group/new-college-students-against-sexual-assault-and-harassment-nasah/
Peace, Conflict and Justice Society,https://sop.utoronto.ca/group/peace-and-conflict-society/
Pharmaceutical Chemistry Student Union (PCSU),https://sop.utoronto.ca/group/pharmaceutical-chemistry-student-union-pcsu/
Philosophy Course Union,https://sop.utoronto.ca/group/philosophy-course-union/
Physics Student Union (PhySU),https://sop.utoronto.ca/group/physics-students-union-psu/
Public Health Students’ Union (previously known as the Health Studies Students’ Union),https://sop.utoronto.ca/group/health-studies-students-union/
Religion Undergraduate Student Association,https://sop.utoronto.ca/group/religious-studies-student-association/
Rotman Commerce Students’ Association,https://sop.utoronto.ca/group/rotman-commerce-students-association/
Sexual Diversity Studies Students’ Union,https://sop.utoronto.ca/group/sexual-diversity-studies-students-union/
Skule French-speaking Society,https://sop.utoronto.ca/group/skule-french-speaking-society/
Slavic Languages Students Union,https://sop.utoronto.ca/group/slavic-languages-students-union/
South Asian Studies Students’ Union,https://sop.utoronto.ca/group/south-asian-studies-students-union/
Speech Language Pathology Student Union – SLPSU,https://sop.utoronto.ca/group/speech-language-pathology-student-union-slpsu/
St. Michael’s College Students Union (SMCSU),https://sop.utoronto.ca/group/st-michaels-college-student-union-smcsu/
St. Michael’s College Students Union (SMCSU),https://sop.utoronto.ca/group/copy-of-st-michaels-college-students-union-smcsu/
Statistical Sciences Union,https://sop.utoronto.ca/group/statistical-sciences-union/
The University of Toronto New Democratic Party Club (UofT NDP),https://sop.utoronto.ca/group/the-new-democratic-club-of-the-university-of-toronto-uoft-ndp/
Toronto Undergraduate Geography Society (TUGS),https://sop.utoronto.ca/group/toronto-undergraduate-geography-society-tugs/
Turkic Union of Research and Academic Network,https://sop.utoronto.ca/group/turkic-union-of-research-and-academic-network/
Undergraduate Public Policy Students’ Association (UPPSA),https://sop.utoronto.ca/group/undergraduate-public-policy-students-association-uppsa/
Undergraduate Public Policy Students’ Association (UPPSA),https://sop.utoronto.ca/group/copy-of-undergraduate-public-policy-students-association-uppsa/
Undergraduate Society of American Studies,https://sop.utoronto.ca/group/undergraduate-society-of-american-studies/
Undergraduate Sociology Students’ Union,https://sop.utoronto.ca/group/undergraduate-sociology-students-union/
University of Toronto Graduate Students’ Union (UTGSU),https://sop.utoronto.ca/group/university-of-toronto-graduate-students-union-utgsu/
University of Toronto Student Environmental Resource Network (UTERN),https://sop.utoronto.ca/group/environmental-student-resource-network-utern/
University of Toronto Students’ Union (UTSU),https://sop.utoronto.ca/group/university-of-toronto-students-union-utsu/
University of Toronto Vietnamese Students’ Association (UTVSA),https://sop.utoronto.ca/group/vietnamese-students-association-utvsa/
Urban Studies Student Union (URSSU),https://sop.utoronto.ca/group/urban-studies-student-union/
Women and Gender Studies Students’ Union (WGSSU),https://sop.utoronto.ca/group/women-and-gender-studies-students-union/
Youth With A Mission (YWAM),https://sop.utoronto.ca/group/youth-with-a-mission-go/
